timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749038364310,7339,HTTP Request,200,OK,Thread Group 1-63,text,true,,1238815,114,100,100,https://bobobobo.com/,660,0,531
1749038366720,5023,HTTP Request,200,OK,Thread Group 1-10,text,true,,1238837,114,100,100,https://bobobobo.com/,253,0,0
1749038366410,5623,HTTP Request,200,OK,Thread Group 1-84,text,true,,1238827,114,100,100,https://bobobobo.com/,442,0,254
1749038368598,3463,HTTP Request,200,OK,Thread Group 1-80,text,true,,1238818,114,100,100,https://bobobobo.com/,121,0,0
1749038366134,6125,HTTP Request,200,OK,Thread Group 1-15,text,true,,1238818,114,100,100,https://bobobobo.com/,223,0,0
1749038368497,3871,HTTP Request,200,OK,Thread Group 1-13,text,true,,1238825,114,100,100,https://bobobobo.com/,154,0,0
1749038366705,5806,HTTP Request,200,OK,Thread Group 1-19,text,true,,1238820,114,100,100,https://bobobobo.com/,246,0,0
1749038367953,4592,HTTP Request,200,OK,Thread Group 1-6,text,true,,1238812,114,100,100,https://bobobobo.com/,114,0,0
1749038363510,9161,HTTP Request,200,OK,Thread Group 1-55,text,true,,1238836,114,100,100,https://bobobobo.com/,304,0,207
1749038364508,8180,HTTP Request,200,OK,Thread Group 1-65,text,true,,1238821,114,100,100,https://bobobobo.com/,631,0,538
1749038367508,5199,HTTP Request,200,OK,Thread Group 1-4,text,true,,1238839,114,100,100,https://bobobobo.com/,248,0,0
1749038364860,7941,HTTP Request,200,OK,Thread Group 1-18,text,true,,1238807,114,100,100,https://bobobobo.com/,175,0,0
1749038366909,5947,HTTP Request,200,OK,Thread Group 1-89,text,true,,1238811,114,100,100,https://bobobobo.com/,583,0,418
1749038364409,8550,HTTP Request,200,OK,Thread Group 1-64,text,true,,1238818,114,100,100,https://bobobobo.com/,134,0,51
1749038366710,6254,HTTP Request,200,OK,Thread Group 1-87,text,true,,1238842,114,100,100,https://bobobobo.com/,621,0,360
1749038364824,8178,HTTP Request,200,OK,Thread Group 1-22,text,true,,1238860,114,100,100,https://bobobobo.com/,122,0,0
1749038370305,2856,HTTP Request,200,OK,Thread Group 1-11,text,true,,1238835,114,100,100,https://bobobobo.com/,306,0,0
1749038366509,6661,HTTP Request,200,OK,Thread Group 1-85,text,true,,1238851,114,100,100,https://bobobobo.com/,519,0,283
1749038366137,7081,HTTP Request,200,OK,Thread Group 1-2,text,true,,1238812,114,100,100,https://bobobobo.com/,179,0,0
1749038365209,8021,HTTP Request,200,OK,Thread Group 1-72,text,true,,1238826,114,100,100,https://bobobobo.com/,115,0,50
1749038369589,3699,HTTP Request,200,OK,Thread Group 1-86,text,true,,1238825,114,100,100,https://bobobobo.com/,376,0,0
1749038368942,4361,HTTP Request,200,OK,Thread Group 1-83,text,true,,1238829,114,100,100,https://bobobobo.com/,165,0,0
1749038365710,7659,HTTP Request,200,OK,Thread Group 1-77,text,true,,1238814,114,100,100,https://bobobobo.com/,403,0,308
1749038364611,8826,HTTP Request,200,OK,Thread Group 1-66,text,true,,1238819,114,100,100,https://bobobobo.com/,383,0,52
1749038366954,6487,HTTP Request,200,OK,Thread Group 1-5,text,true,,1238810,114,100,100,https://bobobobo.com/,305,0,0
1749038365578,8003,HTTP Request,200,OK,Thread Group 1-21,text,true,,1238810,114,100,100,https://bobobobo.com/,129,0,0
1749038365909,7757,HTTP Request,200,OK,Thread Group 1-79,text,true,,1238827,114,100,100,https://bobobobo.com/,166,0,59
1749038358718,15058,HTTP Request,200,OK,Thread Group 1-7,text,true,,1238832,114,100,100,https://bobobobo.com/,826,0,731
1749038365980,7903,HTTP Request,200,OK,Thread Group 1-46,text,true,,1238848,114,100,100,https://bobobobo.com/,248,0,0
1749038372035,1889,HTTP Request,200,OK,Thread Group 1-84,text,true,,1238821,114,100,100,https://bobobobo.com/,286,0,0
1749038371604,2357,HTTP Request,200,OK,Thread Group 1-12,text,true,,1238812,114,100,100,https://bobobobo.com/,511,0,0
1749038367809,6197,HTTP Request,200,OK,Thread Group 1-98,text,true,,1238828,114,100,100,https://bobobobo.com/,420,0,326
1749038366564,7460,HTTP Request,200,OK,Thread Group 1-14,text,true,,1238813,114,100,100,https://bobobobo.com/,203,0,0
1749038367510,6557,HTTP Request,200,OK,Thread Group 1-95,text,true,,1238831,114,100,100,https://bobobobo.com/,512,0,421
1749038366742,7435,HTTP Request,200,OK,Thread Group 1-24,text,true,,1238813,114,100,100,https://bobobobo.com/,256,0,0
1749038361711,12468,HTTP Request,200,OK,Thread Group 1-37,text,true,,1238816,114,100,100,https://bobobobo.com/,280,0,99
